microcolony.num,og.col,treatment,start.date,num.dead,brood.produced,first.brood.date,pollen.given,larval.ejection,date.first.male,num.males,end.num.workers,total.offspring,male.avg.size,fat.content.avg,worker.avg.size,end.date,cage.type,notes
1,brd1,control,4/26/2023,2,yes,5/1/2023,4,7,6/5/2023,3,4,50,0.209,,0.187,6/10/2023,hoarding cage ,
2,brd2,control,4/26/2023,3,yes,5/3/2023,6,8,6/7/2023,1,3,41,,,0.219,6/10/2023,hoarding cage ,
3,brd1,control,4/26/2023,1,yes,5/5/2023,4,23,6/9/2023,2,5,52,0.21,,0.216,6/10/2023,hoarding cage ,
4,brd2,control,4/26/2023,4,yes,5/8/2023,4,2,,0,2,20,,,0.2,6/10/2023,hoarding cage ,
5,brd1,control,4/26/2023,1,yes,5/1/2023,4,5,5/29/2023,5,5,24,0.2208,,0.193,6/10/2023,hoarding cage ,
6,brd2,blue,4/26/2023,0,yes,5/1/2023,5,5,5/31/2023,15,6,84,0.241,,0.219,6/10/2023,hoarding cage ,
7,brd1,blue,4/26/2023,3,yes,5/1/2023,4,10,5/29/2023,5,3,30,0.2298,,0.215,6/10/2023,hoarding cage ,
8,brd2,blue,4/26/2023,2,yes,5/3/2023,6,9,6/9/2023,1,4,47,0.196,,0.2,6/10/2023,hoarding cage ,
9,brd1,blue,4/26/2023,1,yes,5/1/2023,4,9,5/29/2023,9,5,67,0.21685,,0.223,6/10/2023,hoarding cage ,
10,brd2,blue,4/26/2023,1,yes,5/3/2023,5,4,6/5/2023,5,5,56,0.24075,,0.219,6/10/2023,hoarding cage ,
11,brd1,pink,4/26/2023,1,yes,5/1/2023,3,0,6/5/2023,4,5,37,0.21525,,0.1832,6/10/2023,hoarding cage ,
12,brd2,pink,4/26/2023,4,yes,5/1/2023,3,14,6/5/2023,3,2,31,0.2176666,,0.236,6/10/2023,hoarding cage ,
13,brd1,pink,4/26/2023,1,yes,5/1/2023,5,4,6/5/2023,7,5,48,0.2085,,0.204,6/10/2023,hoarding cage ,
14,brd2,pink,4/26/2023,4,yes,5/3/2023,3,3,6/9/2023,1,2,16,,,0.2125,6/10/2023,hoarding cage ,
15,brd1,pink,4/26/2023,3,yes,5/1/2023,3,13,6/5/2023,5,3,36,0.226,,0.236,6/10/2023,hoarding cage ,
16,brd2,control,4/28/2023,3,yes,5/24/2023,2,1,,0,3,3,,,0.234,6/12/2023,hoarding cage ,
17,brd1,control,4/28/2023,1,yes,5/1/2023,3,9,5/31/2023,1,5,22,0.226,,0.2268,6/12/2023,hoarding cage ,
18,brd2,control,4/28/2023,3,no,,3,3,,0,3,0,,,0.2395,6/12/2023,hoarding cage ,
19,brd1,control,4/28/2023,2,yes,5/1/2023,4,3,6/9/2023,1,4,16,0.237,,0.24425,6/12/2023,hoarding cage ,
20,brd2,control,4/28/2023,1,yes,5/8/2023,4,11,6/5/2023,3,5,41,0.23733,,0.2202,6/12/2023,hoarding cage ,
21,brd1,blue,4/28/2023,0,yes,5/3/2023,5,8,6/5/2023,5,6,100,0.2256,,0.2235,6/12/2023,hoarding cage ,
22,brd2,blue,4/28/2023,2,yes,5/8/2023,4,0,6/5/2023,6,4,58,0.227833,,0.2265,6/12/2023,hoarding cage ,
23,brd1,blue,4/28/2023,0,yes,5/1/2023,4,7,6/5/2023,8,6,66,0.235714,,0.222333,6/12/2023,hoarding cage ,
24,brd2,blue,4/28/2023,0,yes,5/12/2023,4,0,6/12/2023,1,6,32,0.215,,0.204,6/12/2023,hoarding cage ,
25,brd1,blue,4/28/2023,2,yes,5/8/2023,3,0,6/7/2023,4,4,30,0.244,,0.20525,6/12/2023,hoarding cage ,
26,brd2,pink,4/28/2023,2,yes,5/8/2023,3,1,6/5/2023,2,4,32,0.248,,0.21125,6/12/2023,hoarding cage ,
27,brd1,pink,4/28/2023,0,yes,5/10/2023,3,0,6/8/2023,5,4,18,0.2334,,0.22775,6/12/2023,hoarding cage ,
28,brd2,pink,4/28/2023,2,yes,5/5/2023,7,12,6/8/2023,2,6,57,0.25,,0.2208333,6/12/2023,hoarding cage ,
29,brd1,pink,4/28/2023,1,yes,5/1/2023,5,3,6/7/2023,3,5,25,0.22,,0.2046,6/12/2023,hoarding cage ,
30,brd2,pink,4/28/2023,1,yes,5/8/2023,3,0,6/5/2023,7,5,52,0.217,,0.2112,6/12/2023,hoarding cage ,
31,brd1,control,5/12/2023,1,yes,5/15/2023,4,1,6/19/2023,2,5,17,0.241,,0.2748,6/26/2023,queen cage,
32,brd2,control,5/12/2023,1,yes,5/15/2023,6,6,6/23/2023,1,5,28,0.225,,0.2788,6/26/2023,queen cage,
33,brd1,control,5/12/2023,1,yes,5/15/2023,4,2,6/14/2023,4,5,31,0.2245,,0.23633,6/26/2023,queen cage,2 dead males
34,brd2,control,5/12/2023,0,yes,5/15/2023,5,2,6/23/2023,1,6,5,0.192,,0.229,6/26/2023,queen cage,Dead male- do not count 
35,brd1,control,5/12/2023,1,yes,5/15/2023,5,1,6/14/2023,5,5,20,0.2082,,0.211,6/26/2023,queen cage,
36,brd2,control,5/12/2023,1,yes,5/19/2023,4,4,6/19/2023,2,5,5,0.215,,0.239,6/26/2023,queen cage,
37,brd1,control,5/12/2023,1,yes,5/15/2023,5,6,6/19/2023,4,5,14,0.2283,,0.2426,6/26/2023,queen cage,
38,brd2,control,5/12/2023,0,yes,5/15/2023,5,17,,0,6,9,,,0.21933,6/26/2023,queen cage,
39,brd1,control,5/12/2023,1,yes,5/15/2023,5,3,6/19/2023,2,5,12,0.2285,,0.2214,6/26/2023,queen cage,
40,brd2,control,5/12/2023,0,yes,5/19/2023,5,6,6/19/2023,4,6,32,0.214,,0.24733,6/26/2023,queen cage,
41,brd1,control,5/12/2023,1,yes,5/15/2023,6,5,6/14/2023,5,5,27,0.21975,,0.2362,6/26/2023,queen cage,
42,brd2,control,5/12/2023,1,yes,5/19/2023,4,8,6/23/2023,2,5,26,0.2285,,0.2298,6/26/2023,queen cage,
43,brd1,blue,5/12/2023,0,yes,5/15/2023,6,2,6/12/2023,4,6,18,0.252,,0.2184,6/26/2023,queen cage,
44,brd2,blue,5/12/2023,2,yes,5/19/2023,5,1,,0,4,2,,,0.23775,6/26/2023,queen cage,
45,brd1,blue,5/12/2023,1,yes,5/15/2023,6,5,6/12/2023,3,5,36,0.24966667,,0.2454,6/26/2023,queen cage,
46,brd2,blue,5/12/2023,0,yes,5/22/2023,5,6,6/23/2023,2,6,20,,,0.21433,6/26/2023,queen cage,
47,brd1,blue,5/12/2023,2,yes,5/15/2023,5,0,,0,4,13,,,0.19875,6/26/2023,queen cage,
48,brd2,blue,5/12/2023,1,yes,5/19/2023,5,0,6/19/2023,2,5,12,0.233,,0.2192,6/26/2023,queen cage,
49,brd1,pink,5/12/2023,1,yes,5/15/2023,5,0,,0,5,9,,,0.2204,6/26/2023,queen cage,
50,brd2,pink,5/12/2023,0,yes,5/15/2023,5,5,6/21/2023,3,6,19,0.209,,0.212,6/26/2023,queen cage,
51,brd1,pink,5/12/2023,1,yes,5/15/2023,4,1,,0,5,11,,,0.195,6/26/2023,queen cage,
52,brd2,pink,5/12/2023,0,yes,5/17/2023,5,5,,2,6,24,0.2005,,0.232667,6/26/2023,queen cage,
53,brd1,pink,5/12/2023,0,yes,5/15/2023,6,4,6/15/2023,5,6,17,0.2228,,0.225167,6/26/2023,queen cage,
54,brd2,pink,5/12/2023,2,yes,5/17/2023,5,5,,1,4,13,0.217,,0.2225,6/26/2023,queen cage,
55,brd3,control,8/2/2023,0,yes,8/7/2023,5,2,9/11/2023,6,1,24,0.17366,,,9/15/2023,hoarding cage ,
56,brd4,control,8/3/2023,0,yes,8/7/2023,5,0,9/11/2023,3,6,28,0.18366,,0.2295,9/16/2023,hoarding cage ,
57,brd3,control,8/2/2023,2,yes,8/7/2023,4,8,9/11/2023,11,4,51,0.2208,,0.201,9/15/2023,hoarding cage ,
58,brd4,control,8/3/2023,0,yes,8/7/2023,6,0,,0,6,0,,,0.2205,9/16/2023,hoarding cage ,
59,brd3,control,8/2/2023,5,yes,8/11/2023,6,6,9/11/2023,22,1,30,0.21627,,,9/15/2023,hoarding cage ,
60,brd4,control,8/3/2023,2,yes,8/7/2023,6,0,9/11/2023,3,4,3,0.18966,,0.23325,9/16/2023,hoarding cage ,
61,brd3,control,8/2/2023,1,yes,8/23/2023,4,0,9/11/2023,15,2,53,0.2305,,0.1905,9/15/2023,hoarding cage ,
62,brd4,control,8/3/2023,0,yes,8/7/2023,4,0,9/11/2023,1,5,2,0.1602,,0.2238,9/16/2023,hoarding cage ,
63,brd4,control,8/3/2023,0,yes,8/7/2023,6,0,9/11/2023,5,6,18,0.1812,,0.2185,9/15/2023,hoarding cage ,lost larvae 1
64,brd4,control,8/3/2023,0,yes,8/7/2023,4,0,9/11/2023,6,5,9,0.1916,,0.2116,9/16/2023,hoarding cage ,
65,brd3,control,8/2/2023,0,yes,8/4/2023,7,9,9/6/2023,12,6,83,0.2043,,0.223167,9/15/2023,queen cage,
66,brd4,control,8/3/2023,0,yes,8/4/2023,8,5,9/4/2023,5,6,81,0.1848,,0.246,9/16/2023,queen cage,
67,brd3,control,8/2/2023,1,yes,8/4/2023,8,4,9/4/2023,14,5,90,0.2465,,0.2162,9/15/2023,queen cage,
68,brd4,control,8/3/2023,0,yes,8/7/2023,8,5,9/4/2023,24,6,71,0.19908,,0.249,9/16/2023,queen cage,
69,brd3,control,8/3/2023,0,yes,8/7/2023,8,15,9/6/2023,34,6,84,0.2312,,0.2155,9/15/2023,queen cage,
70,brd4,blue,8/3/2023,1,yes,8/9/2023,3,0,9/11/2023,5,5,58,0.206,,0.2202,9/16/2023,hoarding cage ,
71,brd3,blue,8/2/2023,0,yes,8/4/2023,7,0,9/4/2023,17,6,74,0.2317,,0.2085,9/15/2023,hoarding cage ,
72,brd4,blue,8/3/2023,1,yes,8/7/2023,5,0,9/4/2023,26,5,66,0.1916,,0.2418,9/16/2023,hoarding cage ,
73,brd3,blue,8/2/2023,0,yes,8/7/2023,5,0,9/4/2023,19,6,59,0.2408,,0.194667,9/15/2023,hoarding cage ,
74,brd4,blue,8/3/2023,0,yes,8/7/2023,5,2,9/11/2023,10,6,86,0.1846,,0.2325,9/16/2023,hoarding cage ,
75,brd3,blue,8/2/2023,1,yes,8/7/2023,6,2,8/30/2023,16,2,42,0.226875,,0.2235,9/15/2023,hoarding cage ,
76,brd4,blue,8/3/2023,1,yes,8/16/2023,5,5,9/11/2023,2,4,18,0.1725,,0.24825,9/16/2023,hoarding cage ,accidentally exposed larvae- covered with another pollen ball 
77,brd3,blue,8/2/2023,0,yes,8/7/2023,5,0,9/1/2023,19,6,39,0.2301,,0.199167,9/15/2023,hoarding cage ,
78,brd4,blue,8/3/2023,0,yes,8/7/2023,6,0,9/6/2023,18,5,86,0.188,,0.2358,9/16/2023,hoarding cage ,
79,brd3,blue,8/2/2023,0,yes,8/4/2023,7,0,8/28/2023,30,6,107,0.23506,,0.188667,9/15/2023,hoarding cage ,
80,brd4,blue,8/3/2023,0,yes,8/7/2023,7,1,9/4/2023,37,6,117,0.19788,,0.227167,9/16/2023,queen cage,
81,brd3,blue,8/2/2023,0,yes,8/4/2023,9,0,9/1/2023,37,6,105,0.22408,,0.177,9/15/2023,queen cage,
82,brd4,blue,8/3/2023,0,yes,8/4/2023,8,3,9/1/2023,23,6,46,0.18608,,0.226833,9/16/2023,queen cage,
83,brd3,blue,8/2/2023,0,yes,8/4/2023,6,7,9/11/2023,0,6,36,,,0.200667,9/15/2023,queen cage,
84,brd4,blue,8/3/2023,0,yes,8/7/2023,6,0,9/1/2023,29,6,96,0.1937,,0.219,9/16/2023,queen cage,
85,brd3,pink,8/2/2023,0,yes,8/7/2023,4,0,9/6/2023,8,6,35,0.1848,,0.22033,9/15/2023,hoarding cage ,
86,brd4,pink,8/3/2023,2,yes,8/11/2023,2,0,,0,3,8,,,0.246667,9/16/2023,hoarding cage ,
87,brd3,pink,8/2/2023,0,yes,8/4/2023,4,0,9/11/2023,7,6,37,0.2402,,0.245833,9/15/2023,hoarding cage ,
88,brd4,pink,8/3/2023,0,yes,8/9/2023,4,5,9/6/2023,5,6,12,0.1674,,0.170167,9/16/2023,hoarding cage ,
89,brd3,pink,8/2/2023,0,yes,9/6/2023,1,0,,0,1,10,,,0.254,9/15/2023,hoarding cage ,
90,brd4,pink,8/3/2023,0,yes,8/7/2023,4,1,9/6/2023,4,6,31,0.16725,,0.1955,9/16/2023,hoarding cage ,
91,brd4,pink,8/3/2023,0,yes,8/7/2023,1,0,,1,6,2,0.208,,0.233,9/15/2023,hoarding cage ,
92,brd4,pink,8/3/2023,1,yes,8/11/2023,3,0,,0,3,7,,,0.207,9/16/2023,hoarding cage ,
93,brd3,pink,8/2/2023,0,yes,8/7/2023,3,0,9/11/2023,2,6,42,0.195,,0.209667,9/15/2023,hoarding cage ,
94,brd4,pink,8/3/2023,1,yes,8/11/2023,4,0,,0,5,2,,,0.2084,9/16/2023,hoarding cage ,
95,brd3,pink,8/2/2023,0,yes,8/7/2023,2,0,8/30/2023,16,6,42,0.19646,,0.2702,9/15/2023,queen cage,
96,brd4,pink,8/3/2023,0,yes,8/7/2023,4,1,9/6/2023,8,6,49,0.173125,,0.2185,9/16/2023,queen cage,
97,brd3,pink,8/2/2023,1,yes,8/4/2023,4,8,9/4/2023,5,5,34,0.1758,,0.2214,9/15/2023,queen cage,
98,brd4,pink,8/3/2023,1,yes,8/7/2023,3,0,9/4/2023,8,5,25,0.1725,,0.2385,9/16/2023,queen cage,
99,brd3,pink,8/2/2023,0,yes,8/4/2023,3,4,9/1/2023,8,6,10,0.1886,,0.2415,9/15/2023,queen cage,
